"","community","codeStem","mean","se","n","upper","lower","time13","time25","time37","time59","time7","size"
"196","oo","PELI1",0,NA,1,NA,NA,-0.0157353665349151,0.122689465969384,-0.034284260226464,-0.14380259959858,-0.057386149869748,"large"
"197","oo","peli2",0,NA,1,NA,NA,0.0383704336201969,-0.0149936470167332,0.143006317547897,-0.0868550211434356,-0.0206416236374683,"small"
"198","oo","PELI2",0,NA,1,NA,NA,NA,-0.152152811022296,NA,-0.288103003869255,-0.139174185038832,"large"
"199","oo","peli3",1,NA,1,NA,NA,0.00226913692483978,0.0872084324046758,-0.0631732151893621,-0.204333227626515,0.0504119327092329,"small"
"200","oo","PELI3",2,NA,1,NA,NA,-0.0339214081859273,NA,0.143256361324783,0.13396897156872,-0.0183236381180616,"large"
"201","oo","pepu1",1,NA,1,NA,NA,-0.0207520658561552,0.141220643168835,0.0579789843613589,0.0118611576304025,0.0192271951322951,"small"
"202","oo","PEPU1",0,NA,1,NA,NA,0.00448243982392899,0.0969366381357683,0.178977624211467,0.0356795077098216,-0.00365377202158719,"large"
"203","oo","pepu2",0,NA,1,NA,NA,0.0825610426352472,0.0550135640406385,0.315875835432377,NA,0.0614035254193982,"small"
"204","oo","PEPU2",0,NA,1,NA,NA,0.0096447264051116,-0.0776916762178271,-0.121559944433217,0.065756773698816,0.0336322809265231,"large"
"205","oo","pepu3",0,NA,1,NA,NA,0.0590950935935641,0.0672340280340834,NA,-0.159979514876579,0.0250632777369,"small"
"206","oo","PEPU3",0,NA,1,NA,NA,0.0341249823295843,-0.184720357248347,-0.143755186118549,0.164626163328082,0.0139050628273305,"large"
"207","oo",NA,0.111111111111111,0.053121271525973,36,0.164232382637084,0.0579898395851381,NA,NA,NA,NA,NA,"small"
"208","patho","acpa1",11,NA,1,NA,NA,0.0363734811460115,0.0905345418334568,0.0787417021306271,-0.0921202427159935,0.0287714857825103,"small"
"209","patho","ACPA1",10,NA,1,NA,NA,0.00166102928936471,0.0500430666792444,0.111123160006823,0.0921587648792889,0.00593786613411,"large"
"210","patho","acpa3",7,NA,1,NA,NA,-0.059803414650369,-0.028028385221494,-0.0714355644780653,NA,-0.0629930071171932,"small"
"211","patho","ACPA3",11,NA,1,NA,NA,-0.0634011905860516,0.0572232760678094,-0.024029969711269,0.0152461752369119,-0.051724171150552,"large"
"212","patho","acpa4",6,NA,1,NA,NA,0.0804103467682142,0.179518280795456,0.161365229093693,0.132395571602845,NA,"small"
"213","patho","ACPA4",11,NA,1,NA,NA,-0.0508755504725993,-0.0426200753649515,0.122928604551035,0.083926632082262,0.00698534170864475,"large"
"214","patho","alli1",4,NA,1,NA,NA,0.00911133633874658,-0.0635881001004349,0.108754746976943,0.0344833326420297,-0.0524847425831161,"small"
"215","patho","ALLI1",9,NA,1,NA,NA,-0.0888331387230077,0.0504979977028259,0.129736090160038,-0.107596553383402,-0.0198796705833691,"large"
"216","patho","alli2",4,NA,1,NA,NA,0.00884722238913506,-0.0349373793232263,-0.0621030720727057,-0.0439162463455789,-0.0653000980270234,"small"
"217","patho","ALLI2",7,NA,1,NA,NA,-0.0881167931351037,-0.00197249795446347,-0.055921213163895,-0.146333778431435,-0.0495695440057033,"large"
"218","patho","alli3",3,NA,1,NA,NA,-0.0118313770404028,0.138130808540502,0.129017989163849,0.0546875677977852,0.0496382303594336,"small"
"219","patho","ALLI3",9,NA,1,NA,NA,0.0132577421397836,0.177898751183421,0.155123684100254,0.137757702795593,0.00983964377139429,"large"
"220","patho","ANBA1",8,NA,1,NA,NA,0.0469130823455471,-0.0993112554657246,0.0218899165235181,-0.103252571821386,0.0304337987213546,"large"
"221","patho","anba2",11,NA,1,NA,NA,0.0308627165408004,0.135059917983965,-0.12428372121498,0.245988270123959,0.0555756158068889,"small"
"222","patho","ANBA2",5,NA,1,NA,NA,-0.00872145767451728,-0.0853922566397013,-0.026987938225993,-0.0437921818372272,-0.0403453335760045,"large"
"223","patho","anba3",11,NA,1,NA,NA,0.00254886169741527,-0.138897551861865,-0.179413741789988,-0.170205509624361,0.161114826587667,"small"
"224","patho","ANBA3",5,NA,1,NA,NA,0.0394700218250452,-0.0319979506582742,-0.175834168506877,NA,0.0318376757759624,"large"
"225","patho","baae1",11,NA,1,NA,NA,0.0506733141748187,0.0632058900103907,NA,0.249242374654059,0.0865954346985746,"small"
"226","patho","BAAE1",7,NA,1,NA,NA,-0.0069316019842719,0.0466683862383192,NA,0.0176600375126436,-0.0160969184700982,"large"
"227","patho","baae2",3,NA,1,NA,NA,-0.0829632797337264,0.000654366564618712,-0.00710971480994673,0.121425341773436,NA,"small"
"228","patho","BAAE2",2,NA,1,NA,NA,0.0243190921814269,0.0886198487458135,-0.170175847672548,-0.135248559048893,0.0154381434841812,"large"
"229","patho","baae3",12,NA,1,NA,NA,0.0362259117370211,-0.0212052213573875,-0.203766855004044,0.423238394027834,0.0140627428163357,"small"
