"","codeStem","code","species","size","waterperc","density","barkthick","C","N","P","K","Ca","Fe","Mn","Zn","Arabinose","Galactose","Glucose","Mannose","Rhamnose","Xylose","Lignin"
"86","peli2","peli","peli","small",48.9810260014055,0.572677595628415,2.09,51.076,0.16101,140.347,673.063,776.166,748.054,169.421,16.666,NA,NA,NA,NA,NA,NA,NA
"87","PELI2","PELI","peli","large",46.7683026501998,0.522862228845835,2.77,51.76,0.14581,132.249,394.212,358.9,28.692,52.502,13.504,1.4675,1.1235,37.55,1.8995,0.3245,14.8505,39.021
"88","peli3","peli","peli","small",47.4931752391893,0.522862228845835,2.77,51.19,0.17158,107.247,165.824,454.752,1283.232,80.503,7.905,NA,NA,NA,NA,NA,NA,NA
"89","PELI3","PELI","peli","large",48.8501979261125,0.522862228845835,2.77,53.358,0.13315,67.054,236.93,540.544,52.151,53.722,22.872,1.2915,1.29,33.346,2.043,0.3605,13.938,45.169
"90","penu2","penu","penu","small",47.5536480686695,0.578021978021978,1.32,48.732,0.14458,311.485,1489.605,584.422,7401.437,79.878,22.762,NA,NA,NA,NA,NA,NA,NA
"91","penu3","penu","penu","small",44.2319187089062,0.57577955039884,1.33,48.732,0.14458,311.485,1489.605,584.422,7401.437,79.878,22.762,NA,NA,NA,NA,NA,NA,NA
"92","penu4","penu","penu","small",44.9074074074074,0.623330365093499,1.25,48.732,0.14458,311.485,1489.605,584.422,7401.437,79.878,22.762,NA,NA,NA,NA,NA,NA,NA
"93","pepu1","pepu","pepu","small",45.6591706354999,0.621526930477343,2.92666666666667,51.787,0.12466,138.116,272.222,1276.95,3072.226,76.1,170.274,NA,NA,NA,NA,NA,NA,NA
"94","PEPU1","PEPU","pepu","large",46.505713749719,0.621526930477343,2.92666666666667,50.428,0.09027,163.298,584.223,1115.671,73.293,38.325,215.66,0.9475,1.622,44.4235,0.948,0.4005,19.5105,27.277
"95","pepu2","pepu","pepu","small",48.4615384615385,0.571197411003236,2.25,49.979,0.10873,28.223,444.298,1271.054,1676.815,71.929,16.815,NA,NA,NA,NA,NA,NA,NA
"96","PEPU2","PEPU","pepu","large",47.496792788738,0.621526930477343,2.92666666666667,50.623,0.07292,0,383.677,720.669,34.5,32.751,16.799,0.773,1.3395,46.5185,1.0865,0.329,20.1995,25.794
"97","pepu3","pepu","pepu","small",44.2579867224807,0.646691690214396,3.265,53.284,0.13969,14.106,111.16,1047.448,1620.023,57.097,10.458,NA,NA,NA,NA,NA,NA,NA
"98","PEPU3","PEPU","pepu","large",46.6021086849558,0.621526930477343,2.92666666666667,50.26,0.08547,44.679,431.185,1009.234,32.177,49.011,46.829,0.78,1.492,44.3685,0.9455,0.4155,19.8975,26.212
"99","ripi1","ripi","ripi","small",50.4006436250079,0.44252585467781,1.15333333333333,49.998,0.40369,18.119,3287.2,6532.354,3218.096,162.635,21.241,NA,NA,NA,NA,NA,NA,NA
