"","community","codeStem","mean","se","n","upper","lower","size","time13","time25","time37","time59","time7"
"204","oo","PEPU2",0,NA,1,NA,NA,"large",0.0169490743675246,0.0530869724275199,-0.131289432298368,0.0616245912877043,0.0266389044718604
"205","oo","pepu3",0,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"206","oo","PEPU3",0,NA,1,NA,NA,"large",0.0261753326358087,-0.106991862210042,-0.131067051275377,0.107463535872913,0.00616611368182022
"207","oo",NA,0.111111111111111,0.053121271525973,36,0.164232382637084,0.0579898395851381,"small",NA,NA,NA,NA,NA
"208","patho","acpa1",11,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"209","patho","ACPA1",10,NA,1,NA,NA,"large",-0.00138679819732471,-0.00344590702296178,0.151742582609904,0.0204441406232944,0.0240617118222821
"210","patho","acpa3",7,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"211","patho","ACPA3",11,NA,1,NA,NA,"large",-0.0246350956716952,0.0300286126154735,0.0852883764182221,0.0330306083426673,-0.028687944393657
"212","patho","acpa4",6,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"213","patho","ACPA4",11,NA,1,NA,NA,"large",0.0352073906636932,1.41249191091327e-06,0.226373160096887,0.0963719647315434,0.0519355937493095
"214","patho","alli1",4,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"215","patho","ALLI1",9,NA,1,NA,NA,"large",-0.0196621438179702,0.156384978829923,0.178553120266486,0.0332637005191792,0.0271474751415853
"216","patho","alli2",4,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"217","patho","ALLI2",7,NA,1,NA,NA,"large",-0.0803598680245759,-0.0725674821661687,-0.132818186088387,-0.204997625597132,-0.00429839259478385
"218","patho","alli3",3,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"219","patho","ALLI3",9,NA,1,NA,NA,"large",0.0712828166832786,0.174620955360667,0.218197071381413,0.168188779506885,0.070861565483158
"220","patho","ANBA1",8,NA,1,NA,NA,"large",-0.0290296042837986,-0.143146130375669,-0.146151203959608,-0.200971706433762,-0.00895966880536467
"221","patho","anba2",11,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"222","patho","ANBA2",5,NA,1,NA,NA,"large",-0.0689161119052862,-0.161435973832984,-0.229646913899067,-0.193062651016472,-0.0688911797410354
"223","patho","anba3",11,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"224","patho","ANBA3",5,NA,1,NA,NA,"large",-0.00384502148788092,-0.119618910303217,-0.285414307324452,NA,0.0230939856843784
"225","patho","baae1",11,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"226","patho","BAAE1",7,NA,1,NA,NA,"large",-0.0304566973492626,-0.0136782385665855,NA,-0.103729738297594,-0.0497801083891046
"227","patho","baae2",3,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"228","patho","BAAE2",2,NA,1,NA,NA,"large",-0.0611885672623495,-0.0106367063473712,-0.2925095061621,-0.285296515263506,-0.039814543310898
"229","patho","baae3",12,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"230","patho","BAAE3",8,NA,1,NA,NA,"large",0.0669300803363335,0.136856580807527,0.0431748425436608,-0.104737829006188,0.0597796802679592
"231","patho","EUSC1",11,NA,1,NA,NA,"large",-0.0103093312475058,-0.0644977423027906,0.0165088750410433,-0.0580872595783388,0.0318452186181509
"232","patho","EUSC2",6,NA,1,NA,NA,"large",0.0210028761677434,-0.0233872748683022,0.0765059992830461,0.147665661189599,-0.0119398606324432
"233","patho","EUSC3",1,NA,1,NA,NA,"large",-0.0412911873500331,-0.0134152186208497,0.121533934069521,0.113841300025697,-0.00773448316414358
"234","patho","eute1",5,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"235","patho","EUTE1",7,NA,1,NA,NA,"large",0.00438388794780288,-0.0355508416420464,0.27572240224673,-0.0578726467732574,-0.0154809709851758
"236","patho","eute2",5,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"237","patho","EUTE2",7,NA,1,NA,NA,"large",NA,0.135310969938294,0.1331261695695,0.152076484843188,-0.023548130708831
